"site_no","AP","SAMPLE_DATE","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_Y_COORDINATE","LOCATION_X_COORDINATE"
"05-COHO-5.9","N","2008-08-26 13:30","CHLORIDE",70.4,"mg/l","B",42.20678,-77.16419
"05-COHO-5.9","N","2008-05-05 14:00","CHLORIDE",114,"mg/l","B",42.20678,-77.16419
"05-COHO-50.9","N","2017-08-09 15:15","CHLORIDE",13.4,"mg/l","B",42.59906,-77.5289
"05-COHO-7.4","N","2018-08-23 17:33","CHLORIDE",127,"mg/l","B",42.223251,-77.173208
"05-COHO-8.9","N","2017-08-09 8:30","CHLORIDE",58,"mg/l","B",42.230494,-77.19787
"05-COON-0.7","N","2017-08-08 14:00","CHLORIDE",6.4,"mg/l","B",42.29123,-77.04916
"05-COWS-0.6","N","2008-11-04 11:15","CHLORIDE",13.5,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-04-15 12:00","CHLORIDE",7.15,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-10-14 12:15","CHLORIDE",12.7,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-06-17 11:00","CHLORIDE",8.89,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-07-09 8:30","CHLORIDE",9.87,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-08-26 12:00","CHLORIDE",12.1,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-09-23 10:30","CHLORIDE",12.7,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-05-05 13:00","CHLORIDE",7.21,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-08-05 10:30","CHLORIDE",11.7,"mg/l","B",42.00161,-77.12738
"05-COWS-0.6","N","2008-05-27 12:00","CHLORIDE",9.03,"mg/l","B",42.00161,-77.12738
"05-CUTH-0.6","N","2017-08-08 13:00","CHLORIDE",86.7,"mg/l","B",42.13489,-76.92788
"05-DRUN-3.0","N","2017-08-08 15:00","CHLORIDE",9.7,"mg/l","B",42.244,-77.10099
"05-EASC-0.1","N","2019-07-17 13:00","CHLORIDE",66.4,"mg/l","B",42.260977,-76.956507
"05-FIVM-1.2","N","2017-08-29 10:00","CHLORIDE",42.3,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-09-08 9:00","CHLORIDE",38.4,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-11-12 10:00","CHLORIDE",35.9,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-09-29 11:00","CHLORIDE",26.6,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-06-16 11:00","CHLORIDE",34.1,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-05-27 10:00","CHLORIDE",33.2,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-07-15 10:00","CHLORIDE",48.6,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-10-22 10:00","CHLORIDE",41.3,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-05-06 11:00","CHLORIDE",38.4,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-04-16 12:00","CHLORIDE",34.2,"mg/l","B",42.38849,-77.35784
"05-FIVM-1.2","N","2003-08-12 11:00","CHLORIDE",14,"mg/l","B",42.38849,-77.35784
"05-FIVM-13.0","N","2017-08-10 10:00","CHLORIDE",27,"mg/l","B",42.51962,-77.27826
"05-GLED-0.5","N","2017-08-08 14:30","CHLORIDE",24.1,"mg/l","B",42.08022,-77.15833
"05-GLED_N-0.1","N","2017-08-08 15:00","CHLORIDE",18.7,"mg/l","B",42.07956,-77.16466
"05-GOFF-0.5","N","2017-08-09 16:00","CHLORIDE",69,"mg/l","B",42.38802,-77.41187
"05-GOLT-1.8","N","2017-08-28 13:30","CHLORIDE",34.2,"mg/l","B",42.08325,-76.75382
"05-HOFF-0.8","N","2017-08-28 15:30","CHLORIDE",48.6,"mg/l","B",42.09147,-76.82686
"05-JAKS-0.1","N","2017-08-08 12:00","CHLORIDE",43.4,"mg/l","B",42.17349,-76.73396
"05-LATA-2.1","N","2019-07-16 19:00","CHLORIDE",45.6,"mg/l","B",42.141166,-76.778027
"05-MALL-0.1","N","2017-08-28 12:00","CHLORIDE",15.3,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-05-13 13:45","CHLORIDE",10,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-08-06 11:45","CHLORIDE",16.6,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-06-26 9:30","CHLORIDE",14.4,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-07-15 10:00","CHLORIDE",12.7,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-06-12 10:30","CHLORIDE",15.1,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-04-11 10:00","CHLORIDE",10.5,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-10-21 10:30","CHLORIDE",21.1,"mg/l","B",42.0547,-76.62339
"05-MALL-0.1","N","2013-05-02 10:00","CHLORIDE",10.1,"mg/l","B",42.0547,-76.62339
"05-MCCO-0.1","N","2019-07-16 15:00","CHLORIDE",13.5,"mg/l","B",42.260262,-76.624316
"05-MCHE-1.5","N","2017-08-09 14:00","CHLORIDE",37,"mg/l","B",42.29771,-77.76152
"05-MDCR-0.9","N","2003-09-08 11:00","CHLORIDE",25,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2017-08-29 8:15","CHLORIDE",31.4,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-05-27 12:00","CHLORIDE",30.4,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-11-12 11:00","CHLORIDE",26.6,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-07-15 11:00","CHLORIDE",29,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-04-14 14:00","CHLORIDE",24.7,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-10-22 11:00","CHLORIDE",26.5,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-06-16 12:00","CHLORIDE",25,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-09-29 12:00","CHLORIDE",19.6,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-05-06 12:00","CHLORIDE",34.6,"mg/l","B",42.29023,-77.22003
"05-MDCR-0.9","N","2003-08-12 12:00","CHLORIDE",17,"mg/l","B",42.29023,-77.22003
"05-MEAD-2.1","N","2017-08-08 17:00","CHLORIDE",16.5,"mg/l","B",42.19293,-77.141882
"05-MIGA-0.4","N","2017-08-09 9:00","CHLORIDE",50.7,"mg/l","B",42.22966,-77.20564
"05-NEWT-1.2","N","2008-04-15 10:00","CHLORIDE",59,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-05-05 11:00","CHLORIDE",37.4,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-09-23 8:45","CHLORIDE",134,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-05-27 11:00","CHLORIDE",97.8,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-07-09 10:00","CHLORIDE",125,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-06-17 10:00","CHLORIDE",107,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-10-14 10:45","CHLORIDE",140,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-08-05 8:30","CHLORIDE",130,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-08-26 10:30","CHLORIDE",134,"mg/l","B",42.09046,-76.783723
"05-NEWT-1.2","N","2008-11-04 10:00","CHLORIDE",104,"mg/l","B",42.09046,-76.783723
"05-NEWT_T30-0.4","N","2017-08-08 11:00","CHLORIDE",57.2,"mg/l","B",42.201117,-76.663515
"05-POSC-1.3","N","2017-08-09 8:13","CHLORIDE",34.7,"mg/l","B",42.1587,-77.05452
"05-POSC-1.6","N","2013-08-06 10:30","CHLORIDE",41.7,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-06-10 11:00","CHLORIDE",35.8,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-07-16 10:30","CHLORIDE",40.7,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-05-14 13:00","CHLORIDE",29.6,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-05-02 11:30","CHLORIDE",24.4,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-10-22 11:30","CHLORIDE",30.2,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-04-10 10:45","CHLORIDE",22.3,"mg/l","B",42.16265,-77.05396
"05-POSC-1.6","N","2013-06-26 11:00","CHLORIDE",38.2,"mg/l","B",42.16265,-77.05396
"05-POSC_T5-0.9","N","2017-08-08 14:00","CHLORIDE",5.8,"mg/l","B",42.226545,-76.972573
"05-POST_T7-0.3","N","2019-07-17 12:00","CHLORIDE",18.5,"mg/l","B",42.238109,-76.957185
"05-PURD-0.2","N","2008-10-15 10:15","CHLORIDE",50.3,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-05-28 10:30","CHLORIDE",19.4,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-08-27 10:00","CHLORIDE",48,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-07-08 15:00","CHLORIDE",36.9,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-09-24 10:30","CHLORIDE",48.3,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-11-05 10:00","CHLORIDE",34.5,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-05-06 10:00","CHLORIDE",12.5,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-08-06 10:30","CHLORIDE",29.3,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-04-16 11:00","CHLORIDE",11.1,"mg/l","B",42.25908,-77.60856
"05-PURD-0.2","N","2008-06-18 10:30","CHLORIDE",35.9,"mg/l","B",42.25908,-77.60856
"05-SAMO-1.2","N","2017-08-09 17:00","CHLORIDE",49.5,"mg/l","B",42.40842,-77.4125
"05-SAMO-1.7","N","2019-07-17 14:30","CHLORIDE",27.6,"mg/l","B",42.41659,-77.414479
"05-SEEL-4.0","N","2003-05-28 11:00","CHLORIDE",23,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-06-17 11:00","CHLORIDE",24.7,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-08-13 10:00","CHLORIDE",16.3,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2017-08-08 12:00","CHLORIDE",33.8,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-07-16 10:00","CHLORIDE",34.3,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-05-06 8:00","CHLORIDE",29.3,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-10-23 10:00","CHLORIDE",25,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-04-14 10:00","CHLORIDE",25.8,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-11-13 10:00","CHLORIDE",19.5,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-09-09 11:00","CHLORIDE",19,"mg/l","B",42.05278,-76.82195
"05-SEEL-4.0","N","2003-09-30 10:00","CHLORIDE",17.9,"mg/l","B",42.05278,-76.82195
"05-SEEL-7.6","N","2017-08-08 12:30","CHLORIDE",24.1,"mg/l","B",42.0334,-76.8772
"05-STEO-28.7","N","2017-08-09 10:30","CHLORIDE",48.5,"mg/l","B",42.25261,-77.51771
"05-STEO-33.9","N","2008-07-08 14:00","CHLORIDE",71.6,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2003-09-29 8:00","CHLORIDE",34.7,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2003-08-12 8:00","CHLORIDE",8.56,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2003-06-16 9:00","CHLORIDE",43.8,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-09-24 11:30","CHLORIDE",80.7,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-04-16 12:00","CHLORIDE",35.8,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-05-28 11:30","CHLORIDE",55.4,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-11-05 11:00","CHLORIDE",67.5,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2003-11-12 8:00","CHLORIDE",53.4,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2003-05-05 11:00","CHLORIDE",56.8,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-06-18 11:30","CHLORIDE",57.8,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-10-15 11:15","CHLORIDE",80.1,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-08-27 11:00","CHLORIDE",78.7,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-08-06 12:00","CHLORIDE",77.7,"mg/l","B",42.2762,-77.60151
"05-STEO-33.9","N","2008-05-06 11:00","CHLORIDE",32.3,"mg/l","B",42.2762,-77.60151
"05-STEO-35.7","N","2017-08-09 11:45","CHLORIDE",77,"mg/l","B",42.28617,-77.6244
"05-STEO-55.4","N","2017-08-09 14:00","CHLORIDE",2.6,"mg/l","B",42.36968,-77.854257
"05-STEO-9.7","N","2008-11-05 12:15","CHLORIDE",48.2,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-06-26 11:00","CHLORIDE",45.2,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2017-08-09 9:00","CHLORIDE",49.1,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-05-14 11:00","CHLORIDE",35.1,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-09-08 13:00","CHLORIDE",30.2,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-04-09 11:00","CHLORIDE",22.9,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-05-06 13:00","CHLORIDE",28.8,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-07-16 11:00","CHLORIDE",54.6,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-05-28 12:30","CHLORIDE",37.9,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-11-12 14:00","CHLORIDE",32.5,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-10-22 11:30","CHLORIDE",53.7,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-10-22 14:00","CHLORIDE",36.1,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-05-05 13:00","CHLORIDE",42.6,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-09-23 12:00","CHLORIDE",65.9,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-04-15 13:20","CHLORIDE",23,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-09-29 14:00","CHLORIDE",24,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-07-15 14:00","CHLORIDE",49.5,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-08-05 12:00","CHLORIDE",59.2,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-06-16 14:00","CHLORIDE",30.7,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-08-06 11:00","CHLORIDE",61.3,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-08-27 12:30","CHLORIDE",57.9,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-06-12 11:30","CHLORIDE",33.5,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-04-15 14:00","CHLORIDE",33.4,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2013-04-30 10:50","CHLORIDE",31.3,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-07-08 16:00","CHLORIDE",48.8,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-08-12 14:00","CHLORIDE",8.3,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2003-05-27 13:00","CHLORIDE",28.8,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-10-15 12:45","CHLORIDE",61.6,"mg/l","B",42.11616,-77.29912
"05-STEO-9.7","N","2008-06-17 13:00","CHLORIDE",47.5,"mg/l","B",42.11616,-77.29912
"05-STEO_T22-0.2","N","2013-10-21 12:30","CHLORIDE",40.4,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-08-05 11:00","CHLORIDE",60.9,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-06-11 11:00","CHLORIDE",30.2,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2017-08-09 10:00","CHLORIDE",37.7,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-05-13 10:45","CHLORIDE",25.5,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-04-29 10:50","CHLORIDE",10.4,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-04-08 11:00","CHLORIDE",24.6,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-07-15 11:50","CHLORIDE",59.3,"mg/l","B",42.199,-77.407
"05-STEO_T22-0.2","N","2013-06-25 11:00","CHLORIDE",38,"mg/l","B",42.199,-77.407
"05-TANC-1.2","N","2017-08-08 13:30","CHLORIDE",28.1,"mg/l","B",42.04317,-77.11189
"05-TMLV-0.7","N","2017-08-09 13:45","CHLORIDE",23.3,"mg/l","B",42.44781,-77.46021
"05-TMLV-7.8","N","2017-08-10 8:00","CHLORIDE",29.3,"mg/l","B",42.514739,-77.390314
"05-TOGA-1.3","N","2017-08-08 16:00","CHLORIDE",30.3,"mg/l","B",42.14205,-77.10939
"05-TOGA-6.3","N","2003-10-23 9:00","CHLORIDE",14.6,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-11-13 9:00","CHLORIDE",11.6,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-07-16 8:00","CHLORIDE",11.9,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-05-05 15:00","CHLORIDE",10.1,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-04-15 10:00","CHLORIDE",11.3,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2017-08-08 14:00","CHLORIDE",13.5,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-08-13 9:00","CHLORIDE",8.5,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-05-28 9:00","CHLORIDE",14,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-09-30 8:00","CHLORIDE",9.45,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-09-09 10:00","CHLORIDE",9.34,"mg/l","B",42.08313,-77.14874
"05-TOGA-6.3","N","2003-06-17 9:00","CHLORIDE",11.8,"mg/l","B",42.08313,-77.14874
"05-TRPS-9.5","N","2017-08-09 10:00","CHLORIDE",41.9,"mg/l","B",42.04261,-77.54943
"05-TUSC-0.5","N","2013-06-12 12:25","CHLORIDE",25.2,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-06-26 12:00","CHLORIDE",29.1,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-09-29 13:00","CHLORIDE",14.9,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-11-12 13:00","CHLORIDE",21.8,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-09-08 12:00","CHLORIDE",21.5,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-05-05 14:00","CHLORIDE",31.6,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-07-15 13:00","CHLORIDE",38.2,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-06-16 13:00","CHLORIDE",27.2,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-04-15 12:00","CHLORIDE",24.4,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-10-22 11:30","CHLORIDE",41.6,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-05-27 14:00","CHLORIDE",26.8,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-05-14 12:05","CHLORIDE",20.4,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-10-22 13:00","CHLORIDE",24.5,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-04-30 12:00","CHLORIDE",18.8,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-07-16","CHLORIDE",30.8,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2003-08-12 13:00","CHLORIDE",11.2,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2017-08-09 8:00","CHLORIDE",32.2,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-04-09 12:45","CHLORIDE",19.1,"mg/l","B",42.10327,-77.23371
"05-TUSC-0.5","N","2013-08-06 12:00","CHLORIDE",36.7,"mg/l","B",42.10327,-77.23371
"05-TUSC-12.8","N","2017-08-09 10:00","CHLORIDE",62.3,"mg/l","B",42.07932,-77.40748
"05-TUSC_N-8.4","N","2013-06-11 11:45","CHLORIDE",13.7,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-10-21 11:30","CHLORIDE",27.4,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-05-13 11:40","CHLORIDE",11.3,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-07-15 11:00","CHLORIDE",23,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-04-08 12:00","CHLORIDE",8.5,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-04-29 11:45","CHLORIDE",23.6,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-08-05 10:30","CHLORIDE",25.5,"mg/l","B",42.137149,-77.41234
"05-TUSC_N-8.4","N","2013-06-25 11:55","CHLORIDE",18.2,"mg/l","B",42.137149,-77.41234
"05-WANE_T5-0.5","N","2017-08-29 11:15","CHLORIDE",13,"mg/l","B",42.471559,-77.09818
"06-BEVR-1.5","N","2018-08-07 16:45","CHLORIDE",12.1,"mg/l","B",42.73444,-75.30972
"06-BTNT-1.3","N","2004-11-01 11:00","CHLORIDE",12,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-04-28 11:00","CHLORIDE",15,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-04-06 10:00","CHLORIDE",17.2,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-06-08 10:00","CHLORIDE",13.9,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-09-20 11:00","CHLORIDE",9.73,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-08-02 11:00","CHLORIDE",10.7,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-08-31 11:00","CHLORIDE",13.4,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-10-13 9:00","CHLORIDE",11.6,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-05-17 10:00","CHLORIDE",16,"mg/l","B",42.41945,-75.36139
"06-BTNT-1.3","N","2004-07-06 12:00","CHLORIDE",18.3,"mg/l","B",42.41945,-75.36139
"06-BTNT-12.0","N","2018-08-09 16:00","CHLORIDE",23.6,"mg/l","B",42.511715,-75.27616
"06-BTNT_T6_1-1.0","N","2018-08-09 14:45","CHLORIDE",14.9,"mg/l","B",42.455927,-75.31342
"06-BVIL-2.2","N","2009-06-30 9:00","CHLORIDE",17,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-06-09 9:30","CHLORIDE",19.5,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-09-28 9:30","CHLORIDE",20.9,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-08-18 9:00","CHLORIDE",14.8,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-07-28 11:30","CHLORIDE",21.8,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-04-07 11:00","CHLORIDE",17.4,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-09-08 9:40","CHLORIDE",17.8,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-10-19 9:30","CHLORIDE",22.9,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-05-19 9:45","CHLORIDE",15.5,"mg/l","B",42.2575,-75.44861
"06-BVIL-2.2","N","2009-04-27 10:00","CHLORIDE",21.4,"mg/l","B",42.2575,-75.44861
"06-CATA-1.7","N","2014-07-29 10:00","CHLORIDE",24.2,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2014-10-22 10:00","CHLORIDE",22.2,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-11-03 10:00","CHLORIDE",15.8,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-10-12 13:00","CHLORIDE",24.8,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2014-06-11 10:00","CHLORIDE",17.7,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-07-06 9:00","CHLORIDE",25.8,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2014-09-15 15:00","CHLORIDE",24.8,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2018-08-08 16:00","CHLORIDE",21.1,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-09-21 9:00","CHLORIDE",12.8,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-04-06 9:00","CHLORIDE",18.7,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-04-26 9:00","CHLORIDE",18.6,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-08-02 9:00","CHLORIDE",12.2,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2014-05-06 10:00","CHLORIDE",17.1,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-05-19 9:00","CHLORIDE",14.7,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2014-04-17 10:00","CHLORIDE",14.3,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-06-07 13:00","CHLORIDE",15.5,"mg/l","B",42.14167,-76.29472
"06-CATA-1.7","N","2004-09-01 10:00","CHLORIDE",14.6,"mg/l","B",42.14167,-76.29472
"06-CAYU-15.5","N","2009-04-29 11:00","CHLORIDE",16.9,"mg/l","B",42.20284,-76.57341
