"LAKE_WATERBODY_NAME","SAMPLE_DATE","SAMPLE_TIME","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_SAMPLE_FRACTION","RSLT_RESULT_UNIT","RSLT_RESULT_VALUE"
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.1
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","PH",NA,"pH units",7.34
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.168694e-08
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.2
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","PH",NA,"pH units",7.38
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.011
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",49
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1996-08-05,"1996-08-05 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.570882e-08
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",0.14
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","PH",NA,"pH units",7.34
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1996-08-19,"1996-08-19 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.5
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",0.47
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.03
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.01
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1996-09-10,"1996-09-10 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.5
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,6.025596e-08
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",10.1
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","PH",NA,"pH units",7.22
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.015
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1996-09-23,"1996-09-23 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.75
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.348963e-07
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.46
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","PH",NA,"pH units",6.87
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",41
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","TEMPERATURE",NA,"deg C",14
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1997-06-02,"1997-06-02 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.5
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.511886e-08
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.4
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","PH",NA,"pH units",7.6
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","TEMPERATURE",NA,"deg C",23
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1997-06-30,"1997-06-30 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.75
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.630268e-07
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.43
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","PH",NA,"pH units",6.58
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.007
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",44
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1997-07-28,"1997-07-28 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.5
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.454709e-08
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",7.03
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","PH",NA,"pH units",7.61
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.007
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1997-08-28,"1997-08-28 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.691535e-08
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",8.84
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","PH",NA,"pH units",7.57
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.011
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1997-09-10,"1997-09-10 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.888437e-08
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.67
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.02
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","PH",NA,"pH units",7.23
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.011
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1998-05-28,"1998-05-28 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1e-07
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.81
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","PH",NA,"pH units",7
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1998-06-25,"1998-06-25 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",7.5
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.265795e-08
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.77
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","PH",NA,"pH units",7.37
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","TEMPERATURE",NA,"deg C",24
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1998-07-23,"1998-07-23 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.45
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,6.606934e-08
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.28
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.03
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","PH",NA,"pH units",7.18
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",49
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1998-08-20,"1998-08-20 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.5
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.548134e-08
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",13.8
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","PH",NA,"pH units",7.45
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","TEMPERATURE",NA,"deg C",13
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1998-10-09,"1998-10-09 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.75
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.754399e-07
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.18
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","PH",NA,"pH units",6.24
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","TEMPERATURE",NA,"deg C",10
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",10
"LONG POND",1998-10-26,"1998-10-26 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.9
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.011872e-08
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.48
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","PH",NA,"pH units",7.3
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","TEMPERATURE",NA,"deg C",15
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1999-05-24,"1999-05-24 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.5
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.380384e-08
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.53
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","PH",NA,"pH units",7.86
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",6
"LONG POND",1999-06-15,"1999-06-15 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.29
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.071519e-08
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.28
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","PH",NA,"pH units",7.97
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","TEMPERATURE",NA,"deg C",23
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1999-06-29,"1999-06-29 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.25
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.162278e-07
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.92
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","PH",NA,"pH units",6.5
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",7
"LONG POND",1999-07-13,"1999-07-13 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.875
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.348963e-08
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.98
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","PH",NA,"pH units",7.87
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1999-07-27,"1999-07-27 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.575
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.995262e-08
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",6.55
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","PH",NA,"pH units",7.7
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.014
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",51
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1999-08-10,"1999-08-10 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.5
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.513561e-08
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.58
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","PH",NA,"pH units",7.82
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",55
"LONG POND",1999-08-25,"1999-08-25 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.630781e-08
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.28
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","PH",NA,"pH units",7.44
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",7
"LONG POND",2000-07-12,"2000-07-12 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",3.2
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.888437e-08
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",3.57
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","PH",NA,"pH units",7.23
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","TEMPERATURE",NA,"deg C",22
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",27
"LONG POND",2000-07-26,"2000-07-26 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",2.55
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.041738e-08
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.48
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","PH",NA,"pH units",7.69
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.007
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",39
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","TEMPERATURE",NA,"deg C",24
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",2000-08-10,"2000-08-10 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",2.05
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.311311e-07
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",5.5
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","PH",NA,"pH units",6.48
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",43
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",7
"LONG POND",2000-08-22,"2000-08-22 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",2.7
